"ccode","country","year","onset","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","instab","polity2l","ethfrac","relfrac"
670,"SAUDI ARABIA",1988,0,0,7.30000019073486,9.51870727539062,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1989,0,0,7.07499980926514,9.54795455932617,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1990,0,0,6.88500022888184,9.57741069793701,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1991,0,0,7.15399980545044,9.60710144042969,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1992,0,0,7.66200017929077,9.59499073028564,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1993,0,0,7.62799978256226,9.67533111572266,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1994,0,0,7.38299989700317,9.76336288452148,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1995,0,0,7.22700023651123,9.81727600097656,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1996,0,0,7.07200002670288,9.85108852386475,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1997,0,0,6.9850001335144,9.87349224090576,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1998,0,0,6.98699998855591,9.90676498413086,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
670,"SAUDI ARABIA",1999,0,0,6.91499996185303,9.93976783752441,2.52572870254517,0,1,0,0,-10,0.0585795044898987,0.133199989795685
678,"YEMEN ARAB REP.",1945,0,0,NA,8.02715015411377,3.33932209014893,0,0,0,0,-10,0.037243664264679,0.639999985694885
