site.1,site,size,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,avg_mort,lgs,lgs_corr,se,upper,lower,ln_size,size_corr,ln_size_corr,ln_size_corr_2_3,mgs_c,mgs_k,kt_mgs,size_corr_theta,size_corr_sma,ln_size_corr_sma,sma_slope,size_corr_sma_ignore,ln_size_corr_sma_ignore,,mu_kt,mu_ekt,ln_mu_kt,ln_mu_ekt,wood_density_mean,sla_no_pet_mean,sla_mean,lma_mean,lcc_mean,lnc_mean,cn_mean,lpc_mean,np_mean,mat,trait_comp_mean,e_kt_mgs,wood_density,sla,lma,lcc,lnc,lpc,pn,trait_comp,size_corr_mort,temp_corr_mort,wd_corr_mort,lma_corr_mort,pn_corr_mort,trait_corr_mort,intercept
NWT.1,NWT,18.5,0,0,0,0,0.024988139,0,0,0,,,0.003123517,5.358904,0.000582865,0.000777153,0.001360018,-0.000194288,2.917770732,3.75E-05,-10.19064368,-5.327692463,8.811617,281.961617,41.15796699,0.013559696,2.21E-05,-10.71845417,-0.9423011,2.21E-05,-10.71845417,,1.66E-05,9.10E-22,-11.00783537,-48.44838484,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.505825544,38.6855859,0.025849421,50.4729525,1.3459955,0.079571475,0.059117192,3.812961421,0.000152888,0.001061131,0.001783011,0.041371738,6.32E-05,0.001069435,-3.438871
NWT.1,NWT,19.5,0,0,0,0,0,0,0,0,,,,5.358904,,,,,2.970414466,0,,,8.811617,281.961617,41.15796699,0.005457139,,,-0.9423011,,,,,0,,,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.505880726,38.91843748,0.025694762,50.323607,1.3466875,0.07979795,0.059254987,3.844538382,,,,,,,-3.438871
NWT.1,NWT,20.5,0,0,0.055764306,0,0,0,0,0,,,0.006970538,5.358904,0.001300739,0.001734319,0.003035059,-0.00043358,3.020424886,7.56E-05,-9.490565113,-4.456523636,8.811617,281.961617,41.15796699,0.025405726,4.57E-05,-9.994090268,-0.9423011,4.57E-05,-9.994090268,,3.86E-05,2.12E-21,-10.16286495,-47.60341443,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.509617222,38.61850776,0.02589432,49.919883,1.3192495,0.07884585,0.059765685,3.826611015,0.000339973,0.002526741,0.004221953,0.098342659,0.000152194,0.002546516,-3.438871
NWT.1,NWT,21.5,0,0,0,0,0,0,0,0,,,,5.358904,,,,,3.068052935,5.38E-05,-9.830018224,-4.716596666,8.811617,281.961617,41.15796699,0.019846536,3.09E-05,-10.38411,-0.9423011,3.09E-05,-10.38411,,2.76E-05,1.52E-21,-10.49692735,-47.93747682,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.508156404,38.06268532,0.02627245,50.521268,1.338481,0.079010075,0.059029657,3.733117291,,,,,,,-3.438871
NWT.1,NWT,22.5,0,0.05668603,0,0.036831875,0,0,0.013469498,0,,,0.013373425,5.358904,0.002495552,0.001900657,0.004396209,0.000594896,3.113515309,0.000115454,-9.066636611,-3.877444429,8.811617,281.961617,41.15796699,0.053211306,6.79E-05,-9.597093182,-0.9423011,6.79E-05,-9.597093182,,6.40E-05,3.52E-21,-9.656497605,-47.09704708,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.506372136,38.79085004,0.025779275,50.2632785,1.3401735,0.079734275,0.059495487,3.844686833,0.000649193,0.005133847,0.008619386,0.200704901,0.000307831,0.005174027,-3.438871
NWT.1,NWT,23.5,0,0,0.04760016,0,0,0,0,0,,,0.00595002,5.358904,0.001110305,0.001480407,0.002590713,-0.000370102,3.157000421,5.63E-05,-9.785438513,-4.523771144,8.811617,281.961617,41.15796699,0.024664673,3.32E-05,-10.3128487,-0.9423011,3.32E-05,-10.3128487,,3.29E-05,1.81E-21,-10.32116325,-47.76171272,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.506937878,38.55211307,0.025938915,50.5241245,1.3451325,0.079676925,0.059233514,3.801015396,0.000292153,0.002378321,0.003989699,0.092406905,0.000141979,0.002396935,-3.438871
NWT.1,NWT,24.5,0,0,0,0.051571501,0,0,0,0,,,0.006446438,5.358904,0.00120294,0.001603919,0.002806859,-0.00040098,3.198673118,5.85E-05,-9.746978117,-4.415856255,8.811617,281.961617,41.15796699,0.027792698,3.42E-05,-10.28355403,-0.9423011,3.42E-05,-10.28355403,,3.56E-05,1.96E-21,-10.24290808,-47.68345755,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.511371404,37.66653767,0.026548763,50.262385,1.318856,0.07832265,0.059386809,3.699076952,0.000325251,0.002722347,0.004537085,0.103343927,0.000162937,0.002743653,-3.438871
NWT.1,NWT,25.5,0,0.086292275,0,0.058230245,0,0.064538521,0,0,,,0.02613263,5.358904,0.004876488,0.002993047,0.007869535,0.001883441,3.238678452,0.000227735,-8.387326401,-2.98952898,8.811617,281.961617,41.15796699,0.11699456,0.000132267,-8.930690713,-0.9423011,0.000132267,-8.930690713,,0.000144383,7.93E-21,-8.843043212,-46.28359269,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.503994995,38.25429151,0.026140858,50.967547,1.3695025,0.079511675,0.058058802,3.713030941,0.00131355,0.011291568,0.019024812,0.435331607,0.000660706,0.011379942,-3.438871
NWT.1,NWT,26.5,0,0,0,0,0,0,0,0,,,,5.358904,,,,,3.277144733,0,,,8.811617,281.961617,41.15796699,,,,-0.9423011,,,,,0,,,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.510557303,37.75277038,0.026488122,50.369729,1.327335,0.078545275,0.059175171,3.698749973,,,,,,,-3.438871
NWT.1,NWT,27.5,0,0,0,0,0.073266766,0,0.027447397,0,,,0.01258927,5.358904,0.002349225,0.002278661,0.004627886,7.05634E-05,3.314186005,7.40E-05,-9.511353111,-3.987709769,8.811617,281.961617,41.15796699,0.060517855,4.89E-05,-9.926167362,-0.9423011,4.89E-05,-9.926167362,,5.83E-05,3.20E-21,-9.749807397,-47.19035687,0.506895583,,38.2845121,0.026120223,50.486601,1.3453035,39.40606,0.079216753,17.79495683,2.505485,3.75258903,6.70E+17,0.51050222,37.42086702,0.026723058,50.8909025,1.34111,0.079783975,0.059491,3.686098096,0.00063742,0.005762288,0.009615736,0.217317452,0.000345487,0.005807387,-3.438871
